Filename,Control_or_Dowel,Hz,Height,tau_TKE_1,tau_TKE_2,tau_TKE_3,tau_TKE_w_1,tau_TKE_w_2,tau_TKE_w_3,tau_Reynolds_1,tau_Reynolds_2,tau_Reynolds_3,tau_laminar_1,tau_laminar_2,total_TKE_1,total_TKE_2,total_TKE_w_1,total_TKE_w_2,total_Reynolds_1,total_Reynolds_2
control30Hz1.mat,C,30,3.9300000667572,0.00914955793225261,0.00972060937257112,0.0122505905512858,0.00284620682606374,0.00142834505449514,0.00156037692585755,-0.00517978504558414,-0.00316767942285878,-0.00274943781209913,-0.000170439563364022,-0.0020178152697848,0.00926464408904784,0.00896778469214367,0.00196683637691542,-0.000523454279608457,-0.00434417179758548,-0.00497637388726376
control30Hz2.mat,C,30,7.11999988555908,0.003687156301919,0.00381305868527761,0.00404435817285162,0.005118817122775,0.00527154543433426,0.00543424656477782,0.00602322452414228,0.00619460152574902,0.00666420894913244,-0.000384405791459345,-0.000516572555986945,0.00336570170213896,0.00341213587307767,0.00481077548709528,0.0048363234435691,0.00572450723348631,0.00591283268145379
control30Hz3.mat,C,30,14.7799997329712,0.000656465619121605,0.000649894808566387,0.000647240461145628,0.000597741152114395,0.00058675852436636,0.000576992405675014,-0.000341767299886442,-0.000317025701917828,-0.000295183658948872,-8.86052706315471e-05,-0.000242173301700768,0.000564574943212449,0.00040639433315524,0.00050364456760883,0.000339702163319919,-0.000418001771533682,-0.000548277982134118
control30Hz4.mat,C,30,25.4899997711182,0.000743312745560161,0.000646689887574894,0.000670870220065609,0.00064930781345538,0.000600213087500379,0.000596644200183505,-0.000295798758145338,-0.00025240931455528,-0.000227277169543072,-0.000111889392397947,-0.000241855413677394,0.000583111924169581,0.000416924640142858,0.000512871058079933,0.000356573230164548,-0.000385993428748256,-0.00048169865572657
control30Hz5.mat,C,30,36.5,0.0011189039164293,0.001107606063307,0.00111013506489144,0.0020301349801116,0.00206307531452694,0.00207544335637522,0.00116766371411359,0.00118918002965529,0.00112800720035011,-0.000183463157508724,-0.000299562344628902,0.000929791832359429,0.000809308219470318,0.00186314198981055,0.00176969699082218,0.000994958714375715,0.000859031270373799
dowel10Hz1.mat,D,10,3.75,9.78551238760161e-05,3.06657476533245e-05,0.000188088815746412,3.18704027009176e-05,9.65687465872556e-06,6.27411681704437e-05,-1.40071073273518e-05,4.15216884830372e-06,-6.99159745520817e-06,3.45796764930713e-05,-3.89124453500125e-05,9.88401122577417e-05,7.04648363498559e-05,5.53433151728929e-05,-2.71342393542783e-06,2.96522072535473e-05,-4.03321596534647e-05
dowel10Hz2.mat,D,10,7.07000017166138,0.00207400805936516,0.00211316509399239,0.00217383641980575,0.00282696975808676,0.00276287336714631,0.00269912463037372,0.00103266027917925,0.000944579615747898,0.000929496353137438,-6.10261394630351e-05,1.27097583949464e-05,0.00203256043721574,0.00215621051529402,0.0027338954231535,0.00274370875715496,0.000927593808000541,0.000949747742837614
dowel10Hz3.mat,D,10,14.5,0.00177243892550848,0.00174470785986898,0.0016685013278277,0.00301489703402922,0.00283105591869344,0.00264723571565355,-0.000389615142950106,-0.000298192054231095,-0.000309118558817545,3.84441815161868e-05,-7.79297136700212e-05,0.00179701757420492,0.00162867488017832,0.00296142065787751,0.00266121610350347,-0.000305459417074413,-0.000381585020194341
dowel10Hz4.mat,D,10,24.7900009155273,0.00203983667873047,0.00224006975948839,0.00214061226529736,0.00321700141843166,0.00307278757364884,0.0029150182766557,5.82270965274745e-05,0.000570357877791139,0.000105612067315519,-1.98000402781381e-05,2.4469233828635e-05,0.00212015317883129,0.00221481024622151,0.00312509445576211,0.0030183721589809,0.000294492446881169,0.000362454206381964
dowel10Hz5.mat,D,10,35.9599990844727,0.00257248911406009,0.00273649962512309,0.00271037370117369,0.00265939993912525,0.00248498506666692,0.00359164397525547,-0.00057137373931937,-0.000408157066942749,-0.000817484372362287,-0.000115157763955619,-5.71010887375987e-05,0.00253933660563597,0.00266633557441079,0.00245703473894047,0.0029812134322236,-0.000604923167086678,-0.000669921808390117
dowel20Hz1.mat,D,20,3.52999997138977,0.000778781097603476,0.000333935542810209,0.00016324659191608,0.000249814318684916,0.000114947492331741,4.5157608492552e-05,-0.000220053388133579,1.3968699048128e-05,-9.12494925771057e-05,-0.000169104153973859,0.000371133149409311,0.000387254166232983,0.000619724216772455,1.32767515344691e-05,0.000451185699821457,-0.000272146498516584,0.000332492752644822
dowel20Hz2.mat,D,20,6.78000020980835,0.00552996590843577,0.00539154073223926,0.00552405414406849,0.0106105929035039,0.0105419752741909,0.0105904016227669,0.00129722757185391,0.00146690438680253,0.00120743323361694,-9.27924958881304e-05,-0.000197466937051975,0.00536796082444939,0.0052603305011019,0.0104834915929593,0.0103687215114269,0.00128927348344009,0.00113970187315776
dowel20Hz3.mat,D,20,14.6599998474121,0.00676649002038175,0.0068161482380674,0.00683447012050237,0.0136204292639377,0.0134867554203083,0.0133303371596412,-9.92142082480996e-05,0.000676634788931096,0.000720171978741746,-7.42285646132535e-05,-0.000136985995094639,0.00671709056461132,0.00668832318419025,0.0134793637775098,0.0132715602948801,0.000214481725728245,0.000561417388741783
dowel20Hz4.mat,D,20,24.7900009155273,0.0070110780025243,0.00729714709794735,0.00681913816818906,0.0133177465293556,0.0143269971877999,0.0150943548095711,-0.00248611063557291,-0.00307514166343026,-0.00304411280353634,-0.000113845656942416,0.000112700379203818,0.00704026689329341,0.00717084301227202,0.0137085262016353,0.0148233763778893,-0.002894471806444,-0.00294692685427948
dowel20Hz5.mat,D,20,35.7999992370605,0.00934422275378893,0.00879973131632596,0.0101591803291421,0.018572273231257,0.0180501219699181,0.0163973936420916,-0.00098025837280602,-0.000662060278841636,-0.000183745278647507,0.00012301010219951,-8.59299279855005e-05,0.00919498713725695,0.00939352589474855,0.0184342077027871,0.0171378278780194,-0.000698149223624318,-0.000508832706730072
dowel30Hz1.mat,D,30,3.67000007629395,0.000771812044720761,0.00317634197929351,0.00140081702128551,0.000229017909903462,0.000884262252361623,0.000375503410209177,-0.000150596229318012,-0.00123240818220438,-0.000211021231521613,0.000898509291197044,-0.000583802925399002,0.00287258630320418,0.00170477657489051,0.00145514937232959,4.60799058863981e-05,0.000207007085435848,-0.001305517632262
dowel30Hz2.mat,D,30,7.05000019073486,0.00666902690408051,0.0064228277933239,0.00670498514462224,0.0135439033183957,0.0133828015195377,0.0130837332457759,0.00082235013655918,0.000713867403248969,0.000547549363716371,-5.80556179295815e-05,-0.000261544205203633,0.00648787173077263,0.00630236226376944,0.0134052968010371,0.0129717231774531,0.000710053151974493,0.000369164178279037
dowel30Hz3.mat,D,30,15.0299997329712,0.0115652355205702,0.0112318793739178,0.0111012975849553,0.0238458613378498,0.0236061358351435,0.0233330265553377,9.41859310010784e-06,0.000269827358494013,-0.00144120005813875,-0.000202462703445655,-0.000255881321640296,0.0111960947437983,0.0109107071577962,0.023523535883051,0.0232136998736003,-6.28397276485953e-05,-0.000841567671462664
dowel30Hz4.mat,D,30,25,0.0126472012899103,0.0135594699826106,0.0132439551277639,0.0270264685266739,0.0276013807964773,0.026148300627392,-0.00253954704885473,-0.00472156116529732,-0.0015928012819586,-0.00012451065619336,-0.000248927520483835,0.0129788249800671,0.0131527850347034,0.0271894140053822,0.0266259131914508,-0.00375506476326938,-0.00340610874411179
dowel30Hz5.mat,D,30,35.9099998474121,0.0118047411642056,0.0114976775201239,0.0106483233007384,0.0203958825595691,0.0206401340951743,0.0193195827960153,-0.000997069931827355,-0.000853209034460178,-0.00364429093519902,-6.85037169429821e-05,0.000166760730410586,0.0115827056252218,0.0112397611408418,0.0204495046104287,0.0201466191760054,-0.000993643200086749,-0.00208198925441902
